O,D,flow,dist
6,67,0,19.183592904030956
6,68,0,9.57429943693358
6,69,0,6.71179406776439
6,70,0,13.228829518105556
6,71,0,13.138238161371214
6,72,0,5.145602042386715
6,73,0,3.0820128505345514
6,74,0,8.534580817749363
6,75,0,9.585806959519365
6,76,0,11.323541008002334
6,77,0,5.585144726440346
6,78,0,2.4001453241691295
6,79,0,18.65285812931613
6,80,0,14.808700030688453
6,81,0,14.62297960738791
6,82,0,7.739114298352238
6,83,0,13.169239614694563
6,84,0,10.56649005299643
6,85,0,11.923624609346723
6,86,0,19.397961421009267
6,87,0,5.971383351020897
6,88,0,8.209987436836125
6,89,0,15.227329391934914
6,90,0,12.2583152718925
6,91,0,14.892098001941712
6,92,0,7.4429090584648945
6,93,0,8.381828938671307
6,94,0,7.830016316631807
6,95,0,9.021340886617375
6,96,0,8.314639767477658
6,97,0,12.276886092045649
7,0,0,14.877521098412727
7,1,0,5.825345008973285
7,2,0,16.920982874827686
7,3,0,4.507985064736615
7,4,0,13.272271071915387
7,5,0,10.616940626240702
7,6,0,12.88894209929162
7,7,0,0.0
7,8,0,7.558179637870628
7,9,0,10.07842623725088
7,10,0,15.632346804123575
7,11,0,11.282818090456955
7,12,0,28.69199375866796
7,13,0,4.298474149493907
7,14,0,12.371525569794084
7,15,0,15.994952597184394
7,16,0,18.994379344789593
7,17,0,4.243196937127847
7,18,0,28.567364513677727
7,19,0,14.202871227253052
7,20,0,20.534585631588417
7,21,0,31.304409136750802
7,22,0,9.289703691042513
7,23,0,18.822133478524304
7,24,0,32.55282771710622
7,25,0,21.64408855855815
7,26,0,26.28952471696351
7,27,0,16.994057862290376
7,28,0,17.885637112794342
7,29,0,21.36290161473728
7,30,0,1.8628108324498254
7,31,0,17.409142711818998
7,32,0,16.74194724859641
7,33,0,5.377516614667103
7,34,0,1.838347084829398
7,35,0,20.729038717389084
7,36,0,12.929075142068875
7,37,0,2.3664959398596315
7,38,0,15.034327154118321
7,39,0,19.666465782284178
7,40,0,16.272330614502756
7,41,0,14.47737070488983
7,42,0,19.82463573860063
7,43,0,22.821868698431388
7,44,0,15.063361051360072
7,45,0,13.927468781935358
7,46,0,9.985327419444525
7,47,0,5.689106006098926
7,48,0,18.141761333434836
7,49,0,15.978571892132216
7,50,0,15.109433026491283
7,51,0,13.11555300617985
7,52,0,12.249004043080252
7,53,0,18.57047378448826
7,54,0,22.760533880718018
7,55,0,19.575371245654026
7,56,0,13.167280421472807
7,57,0,6.1374455658572975
7,58,0,23.805675053465308
7,59,0,14.168242653391472
7,60,0,7.039784109664597
7,61,0,20.995210990986465
7,62,0,14.484718200149763
7,63,0,8.873532690934926
7,64,0,13.238062797102254
7,65,0,17.33077557968649
7,66,0,12.438005019310776
7,67,0,18.235446693377703
7,68,0,5.632703678589884
7,69,0,19.54396743882474
7,70,0,15.46901588579779
7,71,0,2.1648184418133867
7,72,0,12.988527471979836
7,73,0,11.658797457255448
7,74,0,11.192466244015158
7,75,0,16.256288122905513
7,76,0,19.6967041147033
7,77,0,18.472616498066284
7,78,0,14.87152457090749
7,79,0,16.609591374818002
7,80,0,26.424517868330067
7,81,0,9.19485657512897
7,82,0,15.654569024296903
7,83,0,8.907923127425505
7,84,0,8.964661485004221
7,85,0,11.726691380218695
7,86,0,14.16766745494582
7,87,0,17.981823008716724
7,88,0,6.314242540106025
7,89,0,26.094758459683295
7,90,0,24.142648893615497
7,91,0,17.374410177555003
7,92,0,18.368281452122883
7,93,0,10.380617350788773
7,94,0,7.755771189508594
7,95,0,8.808954014188867
7,96,0,4.6205393878639685
7,97,0,17.435198465929048
8,0,0,18.580501472152566
8,1,0,10.875398706496478
8,2,0,19.037641567629354
8,3,0,9.168473363927673
8,4,0,8.695227886205572
8,5,0,3.1387940282582703
8,6,0,7.2574472261169465
8,7,0,7.558179637870628
8,8,0,0.0
8,9,0,8.607923197916184
8,10,0,19.89398099876759
8,11,0,16.399981791158826
8,12,0,21.270223536830876
8,13,0,3.3274527271493852
8,14,0,15.684442800691997
8,15,0,8.664842498538919
8,16,0,22.833714530803267
8,17,0,6.967338194254483
8,18,0,24.195215203581498
8,19,0,7.370446057259776
8,20,0,15.807480860541112
8,21,0,25.910487985756692
8,22,0,5.004070593923108
8,23,0,11.276174858047563
8,24,0,25.399708700821847
8,25,0,27.94568546781118
8,26,0,19.799900259802616
8,27,0,22.24092213863223
8,28,0,14.681480398063647
8,29,0,14.035081564637185
8,30,0,8.71628161236021
8,31,0,11.84417274610037
8,32,0,10.030651523264169
8,33,0,3.9228070352040834
8,34,0,6.271390995478547
8,35,0,25.553388875637808
8,36,0,13.880548951160403
8,37,0,5.517098457246639
8,38,0,17.050627122707077
8,39,0,12.52398487520252
8,40,0,21.37622924904009
8,41,0,13.421890240769198
8,42,0,16.135696400050815
8,43,0,15.789903077760403
8,44,0,11.082116650761149
8,45,0,13.834074623255225
8,46,0,10.815540515296057
8,47,0,11.590010664316486
8,48,0,15.399086289600948
8,49,0,10.090390733220561
8,50,0,12.20062068281633
8,51,0,11.341545025893808
8,52,0,4.690824599183621
8,53,0,17.17792430747142
8,54,0,20.346398536804134
8,55,0,12.182496100979222
8,56,0,6.0330187184945565
8,57,0,4.373006824645474
8,58,0,16.344679926583986
8,59,0,17.533677632345743
8,60,0,10.223115575122375
8,61,0,14.155927536270124
8,62,0,7.807523581967167
8,63,0,14.613190500986121
8,64,0,15.66821668682455
8,65,0,12.60256906261555
8,66,0,16.80674156340614
8,67,0,21.225629198061252
8,68,0,2.5052845935171866
8,69,0,13.152691611504904
8,70,0,16.441859022499152
8,71,0,6.850842302348307
8,72,0,10.221872522493259
8,73,0,4.832585713030757
8,74,0,11.115566363569975
8,75,0,14.751073890898367
8,76,0,17.458034706426105
8,77,0,12.450477036817103
8,78,0,9.644157197723727
8,79,0,20.076314226693903
8,80,0,19.03163019147069
8,81,0,13.751419769613603
8,82,0,13.345446837888389
8,83,0,12.699045811201174
8,84,0,11.019956016128381
8,85,0,13.570259934974189
8,86,0,19.134749018191695
8,87,0,10.987447343041966
8,88,0,7.0730266227327965
8,89,0,18.57760643334892
8,90,0,16.86656663081394
8,91,0,18.40081588553896
8,92,0,14.414541875498776
8,93,0,3.3387759287422094
8,94,0,8.03644499047399
8,95,0,2.5276993492028588
8,96,0,4.6412500346049645
8,97,0,16.933143507781246
9,0,0,11.58490895069899
9,1,0,7.924073056680218
9,2,0,10.912812463917941
9,3,0,7.182113154031253
9,4,0,4.836839841063267
9,5,0,9.046353864376519
9,6,0,6.0817321420806625
9,7,0,10.07842623725088
9,8,0,8.607923197916184
9,9,0,0.0
