osm_id,name,type,other_tags
"3929084",,restriction,"""restriction""=>""no_u_turn"""
"3929085",,restriction,"""restriction""=>""no_u_turn"""
"3929086",,restriction,"""restriction""=>""no_u_turn"""
"3929087",,restriction,"""restriction""=>""no_u_turn"""
"3929088",,restriction,"""restriction""=>""no_u_turn"""
"3929089",,restriction,"""restriction""=>""no_u_turn"""
"3929090",,restriction,"""restriction""=>""no_u_turn"""
"3929091",,restriction,"""restriction""=>""no_u_turn"""
"3929092",,restriction,"""restriction""=>""no_u_turn"""
"3929093",,restriction,"""restriction""=>""no_u_turn"""
"3929094",,restriction,"""restriction""=>""no_u_turn"""
"3929095",,restriction,"""restriction""=>""no_u_turn"""
"3929096",,restriction,"""restriction""=>""no_u_turn"""
"3929097",,restriction,"""restriction""=>""no_u_turn"""
"3929098",,restriction,"""restriction""=>""no_u_turn"""
"3929099",,restriction,"""restriction""=>""no_u_turn"""
"3929100",,restriction,"""restriction""=>""no_u_turn"""
"3929101",,restriction,"""restriction""=>""no_u_turn"""
"3929102",,restriction,"""restriction""=>""no_u_turn"""
"3929103",,restriction,"""restriction""=>""no_u_turn"""
"3929104",,restriction,"""restriction""=>""no_u_turn"""
"3929105",,restriction,"""restriction""=>""no_u_turn"""
"3929106",,restriction,"""restriction""=>""no_u_turn"""
"3929107",,restriction,"""restriction""=>""no_u_turn"""
"3929108",,restriction,"""restriction""=>""no_u_turn"""
"3929110",,restriction,"""restriction""=>""no_u_turn"""
"3929112",,restriction,"""restriction""=>""no_u_turn"""
"3929113",,restriction,"""restriction""=>""no_u_turn"""
"3929115",,restriction,"""restriction""=>""no_u_turn"""
"3929116",,restriction,"""restriction""=>""no_u_turn"""
"3929120",,restriction,"""restriction""=>""no_u_turn"""
"3929121",,restriction,"""restriction""=>""no_u_turn"""
"3929122",,restriction,"""restriction""=>""no_u_turn"""
"3929123",,restriction,"""restriction""=>""no_u_turn"""
"3929124",,restriction,"""restriction""=>""no_u_turn"""
"3929125",,restriction,"""restriction""=>""no_u_turn"""
