experiment_id,module,param,r01_value,new_value,changed_vs_r01,is_allowed_diff
F15,eventsManager,numberOfThreads,null,null,False,False
F15,eventsManager,oneThreadPerHandler,false,false,False,False
F15,eventsManager,synchronizeOnSimSteps,true,true,False,False
F15,facilities,facilitiesSource,none,none,False,False
F15,facilities,idPrefix,f_auto_,f_auto_,False,False
F15,facilities,inputCRS,null,null,False,False
F15,facilities,inputFacilitiesFile,null,null,False,False
F15,facilities,inputFacilityAttributesFile,null,null,False,False
F15,facilities,insistingOnUsingDeprecatedFacilitiesAttributeFile,false,false,False,False
F15,global,coordinateSystem,EPSG:3414,EPSG:3414,False,False
F15,global,defaultDelimiter,;,;,False,False
F15,global,insistingOnDeprecatedConfigVersion,true,true,False,False
F15,global,numberOfThreads,8,8,False,False
F15,global,randomSeed,4711,4711,False,False
F15,hermes,endTime,30:00:00,30:00:00,False,False
F15,hermes,flowCapacityFactor,1.0,1.0,False,False
F15,hermes,mainMode,car,car,False,False
F15,hermes,storageCapacityFactor,1.0,1.0,False,False
F15,hermes,stuckTime,10,10,False,False
F15,hermes,useDeterministicPt,false,false,False,False
F15,households,inputFile,null,null,False,False
F15,households,inputHouseholdAttributesFile,null,null,False,False
F15,households,insistingOnUsingDeprecatedHouseholdsAttributeFile,false,false,False,False
F15,linkStats,averageLinkStatsOverIterations,1,1,False,False
F15,linkStats,writeLinkStatsInterval,1,1,False,False
F15,network,inputCRS,null,null,False,False
F15,network,inputChangeEventsFile,null,null,False,False
F15,network,inputNetworkFile,D:\Luan\2026-05\2_Singapore\reports\matsim_network\network_cleaned.xml.gz,D:\Luan\2026-05\2_Singapore\reports\matsim_network\network_cleaned.xml.gz,False,False
F15,network,laneDefinitionsFile,null,null,False,False
F15,network,timeVariantNetwork,false,false,False,False
F15,planInheritance,enabled,false,false,False,False
F15,plans,activityDurationInterpretation,tryEndTimeThenDuration,tryEndTimeThenDuration,False,False
F15,plans,handlingOfPlansWithoutRoutingMode,reject,reject,False,False
F15,plans,inputCRS,null,null,False,False
F15,plans,inputPersonAttributesFile,null,null,False,False
F15,plans,inputPlansFile,D:\Luan\2026-05\2_Singapore\reports\matsim_departure_6_3_3a\population_lambda_0p075.xml.gz,D:\Luan\2026-05\2_Singapore\matsim_demand_7_6f_1\populations\pop_F15\population_lambda_0p075.xml.gz,True,True
F15,plans,insistingOnUsingDeprecatedPersonAttributeFile,false,false,False,False
F15,plans,networkRouteType,LinkNetworkRoute,LinkNetworkRoute,False,False
